lga_uid,lga_name,state_name,state_lga,area_sq_km,lga_lat,lga_lon,u5mr_mean,u5mr_median,live_births_sum,u5_deaths_sum,facilities_count,facilities_per_10k,avg_distance_km,urban_prop,population,population_density,access_score,towers_count,tower_density_per_km2,avg_dist_to_tower_km,towers_per_10k,coverage_5km,year,risk_score,lga_id,state_id,coverage_3g_pct,coverage_4g_pct,data_quality_flag,confidence_issues,overall_quality,risk_score_total,model_version,risk_score_facility_access,risk_score_connectivity,risk_score_mortality,confidence_reason_codes,confidence_pct,estimate_as_of,primary_barriers,recommendation
0,Eastern Obolo,Akwa Ibom,Akwa Ibom__Eastern Obolo,160.15208032119878,4.526270881626862,7.6884340907912785,67.71956131197247,57.692307692307686,0.0,0.0,13,1.37178553715956,1.8388604022835373,0.0263157894736842,94767.0,591.7313082036563,0.6602067183462532,0,0.0,9.50253710983336,0.0,99.99999999999996,2013,0.0061624734662473,akwa_ibom__eastern_obolo,akwa_ibom,,,ok,none,high,4.050255618622164,v1.2-fallback,8.62821446284044,3.552713678800501e-15,3.385978065598624,none,100,2026-02-13,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
1,Ekeremor,Bayelsa,Bayelsa__Ekeremor,1861.4388971361184,4.989076666666667,5.797759,69.05033500778181,33.18135764944276,56.813486,3.682889,43,1.0118694641327572,5.808972982150667,0.3333333333333333,424956.0,228.2943590863004,0.9276485788113696,0,0.0,56.56165111498093,0.0,68.85512453081529,2013,0.005562569014728,bayelsa__ekeremor,bayelsa,,,ok,none,high,5.212769682749569,v1.2-fallback,8.988130535867242,3.114487546918471,3.4525167503890906,none,100,2026-02-13,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
2,Degema,Rivers,Rivers__Degema,673.0128999592093,4.553232762523531,6.910362720454788,62.177317652385845,63.888888888888886,0.0,0.0,5,0.1255272143000602,3.761792070508018,0.4444444444444444,398320.0,591.8460107141212,0.9076227390180878,0,0.0,24.4325282567731,0.0,26.798607446832044,2013,0.0112082557752728,rivers__degema,rivers,,,ok,none,high,6.073489003763963,v1.2-fallback,9.87447278569994,7.320139255316795,3.108865882619292,none,100,2026-02-13,Low facility density,Monitor barriers and coordinate targeted interventions
3,Andoni,Rivers,Rivers__Andoni,345.9580223571362,4.478648,7.496496,47.61904761904762,47.61904761904762,6.769559999999999,0.32236,35,1.0203873390338971,2.6463938572018457,0.0,343007.0,991.4699987673944,0.7984496124031008,0,0.0,17.986968054861904,0.0,96.59610091644416,2013,0.006042817607522,rivers__andoni,rivers,,,ok,none,high,4.070819893967532,v1.2-fallback,8.979612660966103,0.3403899083555846,2.380952380952381,none,100,2026-02-13,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
4,Akpabuyo,Cross River,Cross River__Akpabuyo,795.3854139006329,4.8835305,8.447941499999999,93.07359307359307,93.07359307359307,13.574507999999994,1.276839,76,1.8711653420785688,1.1149447414101483,0.0,406164.0,510.65055116882223,0.4786821705426357,4,0.0050290084908443,14.256455998609264,0.0984823864251878,84.81197905657413,2013,0.9956170320510864,cross_river__akpabuyo,cross_river,,,ok,none,high,4.423766936701946,v1.2-fallback,8.12883465792143,1.5188020943425862,4.653679653679654,none,100,2026-02-13,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
5,Oron,Akwa Ibom,Akwa Ibom__Oron,148.54938661486722,4.82671,8.226735,120.0,120.0,32.95365,3.954438,30,1.5488587492449315,1.94841265248564,0.0,193691.0,1303.882866256244,0.6375968992248062,19,0.1279035910747976,3.400617790278284,0.98094387452179,67.95013893799145,2013,0.9954930543899536,akwa_ibom__oron,akwa_ibom,,,ok,none,high,5.293737924253008,v1.2-fallback,8.451141250755068,3.2049861062008542,6.0,none,100,2026-02-13,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
6,Bakassi,Cross River,Cross River__Bakassi,273.57283666641825,4.79097674926715,8.497276288962158,50.31702914137747,58.333333333333314,0.0,0.0,31,6.621667805878332,2.735476136149971,0.2307692307692307,46816.0,171.12810091261073,0.3475452196382429,0,0.0,24.975505671413405,0.0,67.10245079850974,2013,0.0068792118690907,cross_river__bakassi,cross_river,,,ok,none,high,2.7428777298546043,v1.2-fallback,3.3783321941216684,3.2897549201490266,2.515851457068873,none,100,2026-02-13,Multiple moderate access barriers,Maintain services and improve care quality
7,Calabar South,Cross River,Cross River__Calabar South,156.00912186504135,4.923228,8.328329,0.0,0.0,12.877292999999998,0.0,84,2.9363134584529127,1.0377809427756115,1.0,286073.0,1833.694059552959,0.3165374677002584,78,0.4999707649625474,1.7486934892185615,2.726576782849133,70.68193186343433,2013,0.0051559605635702,cross_river__calabar_south,cross_river,,,ok,low_dhs_sample,medium,3.162429746550355,v1.2-fallback,7.063686541547087,2.931806813656567,0.0,low_dhs_sample,80,2026-02-13,Multiple moderate access barriers,Maintain services and improve care quality
8,Udung Uko,Akwa Ibom,Akwa Ibom__Udung Uko,66.9620520181888,4.747834976656295,8.258667646330428,67.71956131197247,57.692307692307686,0.0,0.0,12,1.4213125821696335,1.4513049637507165,0.0263157894736842,84429.0,1260.8484575273571,0.6020671834625323,0,0.0,7.117703760703724,0.0,96.9447410293054,2013,0.0061624734662473,akwa_ibom__udung_uko,akwa_ibom,,,ok,none,high,4.055270788429247,v1.2-fallback,8.578687417830366,0.3055258970694599,3.385978065598624,none,100,2026-02-13,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
9,Southern Ijaw,Bayelsa,Bayelsa__Southern Ijaw,2731.1476423951285,4.70763075,5.9590575,109.15853473556474,98.99888765294769,42.517316,4.112152,69,1.3766739557229732,1.937690017136101,0.0,501208.0,183.51552739948423,0.6660206718346253,0,0.0,45.02259447801208,0.0,63.92243939784829,2013,0.995527684688568,bayelsa__southern_ijaw,bayelsa,,,ok,none,high,5.297966013448163,v1.2-fallback,8.623326044277027,3.607756060215172,5.457926736778237,none,100,2026-02-13,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
