lga_id,year,primary_barriers,recommendation
akwa_ibom__eastern_obolo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bayelsa__ekeremor,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
rivers__degema,2013,Low facility density,Monitor barriers and coordinate targeted interventions
rivers__andoni,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
cross_river__akpabuyo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
akwa_ibom__oron,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
cross_river__bakassi,2013,Multiple moderate access barriers,Maintain services and improve care quality
cross_river__calabar_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__udung_uko,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bayelsa__southern_ijaw,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
oyo__iwajowa,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
oyo__ibarapa_north,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
rivers__okrika,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ogun__imeko_afon,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
akwa_ibom__ibeno,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bayelsa__nembe,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ondo__ilaje,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
bayelsa__brass,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
delta__warri_north,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ondo__ese_odo,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
taraba__jalingo,2013,Multiple moderate access barriers,Maintain services and improve care quality
delta__burutu,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
adamawa__girei,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
taraba__yorro,2013,Multiple moderate access barriers,Maintain services and improve care quality
taraba__ardo-kola,2013,Multiple moderate access barriers,Maintain services and improve care quality
adamawa__yola_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
adamawa__yola_south,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
akwa_ibom__mbo,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
taraba__lau,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
oyo__ibarapa_central,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ogun__abeokuta_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
rivers__bonny,2013,Multiple moderate access barriers,Maintain services and improve care quality
delta__warri_south-west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
delta__warri_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
rivers__akuku_toru,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__isokan,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__irewole,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__essien_udim,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
akwa_ibom__onna,2013,Multiple moderate access barriers,Maintain services and improve care quality
enugu__udenu,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
rivers__ogu_bolo,2013,Multiple moderate access barriers,Maintain services and improve care quality
enugu__enugu_south,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__ikot_ekpene,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__nsit_ubium,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__urue_offong/oruko,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
akwa_ibom__abak,2013,Multiple moderate access barriers,Maintain services and improve care quality
enugu__nkanu_east,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
enugu__igbo-eze-south,2013,Multiple moderate access barriers,Maintain services and improve care quality
enugu__nsukka,2013,Multiple moderate access barriers,Maintain services and improve care quality
rivers__tai,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
osun__ife_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__ayedade,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__ayedire,2013,Multiple moderate access barriers,Maintain services and improve care quality
rivers__ahoada_east,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
oyo__iseyin,2013,Multiple moderate access barriers,Maintain services and improve care quality
oyo__itesiwaju,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
oyo__kajola,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
enugu__nkanu_west,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
ebonyi__afikpo_north,2013,Multiple moderate access barriers,Maintain services and improve care quality
taraba__donga,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
enugu__oji-river,2013,Multiple moderate access barriers,Maintain services and improve care quality
kwara__oyun,2013,Multiple moderate access barriers,Maintain services and improve care quality
bayelsa__ogbia,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
rivers__asari-toru,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
akwa_ibom__uyo,2013,Multiple moderate access barriers,Maintain services and improve care quality
akwa_ibom__ikono,2013,Multiple moderate access barriers,Maintain services and improve care quality
kwara__baruten,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
oyo__lagelu,2013,Multiple moderate access barriers,Maintain services and improve care quality
kogi__idah,2013,Multiple moderate access barriers,Maintain services and improve care quality
yobe__machina,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kogi__ibaji,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
fct__municipal_area_council,2013,Multiple moderate access barriers,Maintain services and improve care quality
kwara__kaiama,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
zamfara__bakura,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
yobe__nguru,2013,Multiple moderate access barriers,Maintain services and improve care quality
zamfara__gummi,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
kano__ajingi,2013,Multiple moderate access barriers,Maintain services and improve care quality
rivers__port-harcourt,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
kebbi__augie,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
sokoto__kebbe,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
oyo__surulere,2013,Multiple moderate access barriers,Maintain services and improve care quality
jigawa__ringim,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
rivers__emuoha,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
enugu__isi-uzo,2013,Multiple moderate access barriers,Maintain services and improve care quality
bayelsa__yenegoa,2013,Multiple moderate access barriers,Maintain services and improve care quality
kwara__ilorin_east,2013,Multiple moderate access barriers,Maintain services and improve care quality
bauchi__alkaleri,2013,Multiple moderate access barriers,Monitor barriers and coordinate targeted interventions
rivers__omumma,2013,Multiple moderate access barriers,Maintain services and improve care quality
jigawa__birnin_kudu,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
taraba__takum,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
edo__esan_south-east,2013,Multiple moderate access barriers,Maintain services and improve care quality
osun__ifedayo,2013,Multiple moderate access barriers,Maintain services and improve care quality
oyo__ori_ire,2013,Multiple moderate access barriers,Maintain services and improve care quality
kwara__ifelodun,2013,Multiple moderate access barriers,Maintain services and improve care quality
zamfara__maradun,2013,Elevated under-5 mortality indicators,Monitor barriers and coordinate targeted interventions
