cluster_id,latitude,longitude,urban_rural,live_births,u5_deaths,u5mr,survey_year,quality_flag
1,7.720049,8.506936,U,18.697419999999997,1.33553,71.4285714285714,2018,sparse
2,7.717922,8.552142,U,51.807432999999996,2.726707,52.631578947368475,2018,complete
3,7.346602,8.991185,U,17.964001999999994,0.0,0.0,2018,sparse
4,7.210132,8.14976,U,10.747634999999997,1.6969949999999998,286.68730650154794,2018,sparse
5,6.880904,8.408131,U,34.31284899999999,0.0,0.0,2018,sparse
6,7.804954,7.950712,R,15.627810000000006,0.0,0.0,2018,sparse
7,7.594634,7.837529,R,16.564716,1.840524,111.11111111111116,2018,sparse
8,7.604625,8.125414,R,35.23436400000001,0.0,0.0,2018,sparse
9,7.688504,8.503305,R,28.344252000000008,1.954776,68.96551724137923,2018,sparse
10,7.844626,8.581907,R,37.830695000000006,4.323508,117.24137931034484,2018,sparse
11,7.922988,8.566877,R,22.600237,0.0,0.0,2018,sparse
12,7.808608,8.813291,R,16.646715,0.616545,43.47826086956519,2018,sparse
13,7.492098,9.467349,R,14.771400000000002,0.590856,40.000000000000036,2018,sparse
14,7.482331,9.417081,R,8.862840000000004,0.0,0.0,2018,sparse
15,7.769019,9.450834,R,22.348079999999996,0.0,0.0,2018,sparse
16,7.602343,9.641061,R,31.80878400000001,1.514704,47.619047619047564,2018,sparse
17,7.3317,9.494836,R,38.699622000000005,2.976894,230.76923076923072,2018,sparse
18,7.56082,9.073775,R,43.91929499999999,0.0,0.0,2018,sparse
19,7.138297,9.23547,R,28.233819000000004,0.0,0.0,2018,sparse
20,7.656589,8.868452,R,13.205304,0.0,0.0,2018,sparse
21,7.483658,8.973756,R,30.370955999999993,1.084677,40.000000000000036,2018,sparse
22,7.348579,8.829189,R,32.106456,0.0,0.0,2018,sparse
23,7.35172,8.558483,R,21.981467999999992,0.955716,43.47826086956519,2018,sparse
24,7.028856,8.08577,R,15.429040000000006,0.0,0.0,2018,sparse
25,7.472208,8.098329,R,19.035839999999997,1.269056,83.63636363636363,2018,sparse
26,7.193478,7.81318,R,32.79249,3.279249,103.99999999999999,2018,sparse
27,7.177278,7.670084,R,15.834780000000002,0.0,0.0,2018,sparse
28,6.720312,8.124977,R,10.7582,0.0,0.0,2018,sparse
29,6.852231,8.047246,R,14.124484000000004,0.642022,45.45454545454541,2018,sparse
30,6.872812,8.305948,R,25.047152,2.890056,115.38461538461542,2018,sparse
31,6.835894,8.474276,R,16.954981999999998,0.0,0.0,2018,sparse
32,6.907392,8.617369,R,25.448384,1.957568,76.92307692307698,2018,sparse
33,7.189491,9.052941,R,11.210292,0.0,0.0,2018,sparse
34,6.877036,9.461769,R,30.183896000000004,1.040824,34.482758620689616,2018,sparse
35,6.584889,9.456597,R,13.070826000000002,1.452314,114.58333333333337,2018,sparse
36,6.864172,9.07281,R,39.091424,2.443214,62.5,2018,sparse
37,6.748346,9.097812,R,37.80552999999999,1.080158,31.25,2018,sparse
38,6.848383,9.130269,R,41.277449999999995,2.75183,87.03703703703702,2018,sparse
39,9.271858,7.368583,U,9.892967999999996,0.319128,33.33333333333333,2018,sparse
40,9.284394,7.365453,U,10.348204999999998,0.886989,85.71428571428574,2018,sparse
41,9.172708,7.340065,U,6.96451,0.497465,71.4285714285714,2018,sparse
42,9.133583,7.380255,U,5.260929,0.276891,52.63157894736836,2018,sparse
43,9.145108,7.316459,U,11.404152,1.689504,182.02861952861937,2018,sparse
44,9.170229,7.352134,U,3.003568,0.0,0.0,2018,sparse
45,9.149126,7.348596,U,3.970332,0.441148,137.2549019607844,2018,sparse
46,9.155869,7.343456,U,1.4360760000000001,0.0,0.0,2018,sparse
47,9.148613,7.324846,U,5.98366,0.35198,76.92307692307688,2018,sparse
48,0.0,0.0,U,3.3790000000000004,0.16895,52.63157894736836,2018,sparse
49,9.146652,7.497145,U,2.496704,0.0,0.0,2018,sparse
50,9.13586,7.477958,U,18.302969999999995,0.0,0.0,2018,sparse
51,9.03398,7.584135,U,1.176352,0.147044,142.85714285714292,2018,sparse
52,8.946523,7.091405,U,4.999647999999999,0.434752,96.6183574879227,2018,sparse
53,8.96287,7.091869,U,2.018496,0.0,0.0,2018,sparse
54,8.955949,7.072193,U,2.4221999999999997,0.20185,142.8571428571428,2018,sparse
55,8.933183,7.083928,U,7.8255539999999995,0.0,0.0,2018,sparse
56,8.938501,7.080057,U,5.6517930000000005,0.0,0.0,2018,sparse
57,9.09662,7.218724,U,15.91505,0.0,0.0,2018,sparse
58,9.102789,7.222119,U,1.6562,0.41405,250.0,2018,sparse
59,8.469179,6.947977,U,11.072207999999998,1.428672,129.03225806451613,2018,sparse
60,8.809633,7.040249,U,6.689844,0.557487,125.0,2018,sparse
61,9.208599,7.461923,R,3.30496,0.10328,50.00000000000004,2018,sparse
62,9.281133,7.404444,R,1.75576,0.0,0.0,2018,sparse
63,9.243819,7.333726,R,6.212955000000001,0.532539,95.73192239858908,2018,sparse
64,8.876743,7.578489,R,2.09835,0.0,0.0,2018,sparse
65,9.029374,7.154822,R,1.494934,0.213562,228.57142857142853,2018,sparse
