lga_name,year,facilities_per_10k,avg_distance_km,u5mr_mean,coverage_5km,towers_per_10k,population_density,pop_pct_60min
Eastern Obolo,2013,0.7823913,-0.121314175,-0.12492295,-0.28831488,0.3891565,0.09653968,0.0
Ekeremor,2013,1.0800279,0.72107,-0.072744794,0.25896016,0.36695477,-0.0028543624,0.0
Degema,2013,1.183094,0.60985696,-0.25120923,0.41913062,0.3897646,0.18187764,0.0
Andoni,2013,1.1553897,0.36484125,-0.6125728,0.05744863,0.33436602,0.1387743,0.0
Akpabuyo,2013,0.4443161,-0.3088291,0.40494788,0.19158079,0.2711985,0.080198385,0.0
Oron,2013,0.7110249,-0.01387983,0.91787976,0.3681243,0.17636795,0.22,0.0
Bakassi,2013,-1.0977063,0.36587703,-0.5595056,0.30815417,0.35978276,-0.06976128,0.0
Calabar South,2013,-0.39602292,-0.24843599,-1.1272017,0.31788668,-0.04923051,0.21941926,0.0
Udung Uko,2013,0.81697303,-0.1887751,-0.121175386,0.052692838,0.3698178,0.15391251,0.0
Southern Ijaw,2013,0.7975169,-0.0109317005,0.7476893,0.283887,0.33039933,-0.061984126,0.0
Iwajowa,2013,0.40532804,0.6362351,-0.66362345,0.36492634,0.332863,-0.15135103,0.0
Ibarapa North,2013,0.40362257,0.5076643,1.137942,0.29089174,0.29339,-0.1144481,0.0
Okrika,2013,1.054871,0.6824217,0.85021764,0.38835582,0.21956407,0.17702362,0.0
Imeko Afon,2013,-0.48995307,-0.29248816,-0.7709523,0.3094019,0.30164078,-0.1692447,0.0
Ibeno,2013,0.4140945,0.5124024,-0.15915948,0.11430953,-0.062946275,0.045483693,0.0
Nembe,2013,0.9138604,0.6535563,0.2086589,0.32445744,0.37813365,-0.004680942,0.0
Ilaje,2013,0.5964745,0.32535297,0.39767858,0.15062758,0.24170141,-0.010171974,0.0
Brass,2013,0.84178615,0.4180661,0.3902293,0.31866556,0.34649587,-0.02389053,0.0
Warri North,2013,0.8478802,0.5382219,-0.27135155,0.34548497,0.3601151,-0.14883465,0.0
Ese Odo,2013,0.7065867,0.61118275,-0.37281188,0.1452692,0.36638528,0.00793184,0.0
Jalingo,2013,-0.8064889,-0.6812594,-0.41969877,-0.25708959,-0.3097595,0.06679942,0.0
Burutu,2013,1.0832664,0.76371276,-0.023134395,0.27303964,0.36883178,-0.026513834,0.0
Girei,2013,0.089068055,0.59349656,-0.1077153,0.15649037,-0.27086163,-0.09310045,0.0
Yorro,2013,-1.098316,0.22332957,-0.5147142,0.14219168,-0.16005185,-0.13246161,0.0
Ardo-Kola,2013,-1.1279083,0.5495249,-0.039544776,0.17941983,-0.1743228,-0.14237551,0.0
Yola North,2013,-0.13446002,-0.47272715,0.46049145,-0.22789736,-0.33439827,0.16121112,0.0
Yola South,2013,-0.22426046,0.5310597,0.39790842,0.05958128,-0.31910872,-0.025228798,0.0
Mbo,2013,0.70640457,-0.30593804,0.90027237,-0.079601265,0.3521652,0.081845365,0.0
Lau,2013,-1.0057273,0.5981439,1.1892228,0.07996208,0.009071113,-0.124504656,0.0
Ibarapa Central,2013,0.70119804,-0.1920977,-0.6398107,0.28329015,0.19258974,0.03639858,0.0
Abeokuta North,2013,-0.94109005,0.3594985,-0.33256906,0.15284188,-0.36378148,0.0029977183,0.0
Bonny,2013,1.1723368,-0.49282542,-1.1793664,0.17020667,0.34016576,0.16393273,0.0
Warri South-West,2013,1.1170825,0.7603377,0.0025747993,0.3824013,0.38965383,-0.043782692,0.0
Warri South,2013,0.1779693,0.23972277,-1.1232381,0.39810503,-0.038975064,0.18603456,0.0
Akuku Toru,2013,1.0797842,0.50446606,0.5557008,0.33404195,0.33608186,-0.05600711,0.0
Isokan,2013,-0.24096762,-0.07135767,-0.7641604,-0.11835842,-0.08053846,0.07919377,0.0
Irewole,2013,0.23020697,-0.40062883,-1.2392435,-0.13988218,-0.2594803,0.10115394,0.0
Essien Udim,2013,1.0328466,0.51006263,-0.2718222,-0.2388762,-0.16419473,0.12829943,0.0
Onna,2013,0.66869396,-0.6588798,-0.15796697,-0.28255013,0.050719827,0.112500325,0.0
Udenu,2013,-0.65846795,-0.43823463,1.1439508,-0.2475079,-0.28527257,0.11103545,0.0
Ogu Bolo,2013,1.13162,0.547457,-1.1788185,0.23398021,0.3179837,0.15017627,0.0
Enugu South,2013,-0.5197296,-0.33542436,0.24891779,-0.23413798,-0.3272679,0.18215483,0.0
Ikot Ekpene,2013,0.14373891,-0.5133454,-1.228663,-0.27084264,-0.33967352,0.11350838,0.0
Nsit Ubium,2013,0.6707007,0.04184729,-1.2288839,-0.26490736,-0.10481917,0.10911112,0.0
Urue Offong/Oruko,2013,0.65601265,-0.41171303,0.7578946,-0.28476974,0.028426472,0.11452745,0.0
Abak,2013,0.79511845,0.10662384,-0.7369994,-0.24904794,-0.23688912,0.09860871,0.0
Nkanu East,2013,-0.77509606,-0.2920637,1.1724907,-0.25081533,-0.102299094,-0.05384698,0.0
Igbo-Eze-South,2013,-0.6463807,0.030737776,-0.7093053,-0.2589137,0.20448983,0.14332835,0.0
Nsukka,2013,0.13977961,-0.3946323,-0.91759187,-0.022423161,-0.1018373,0.09433672,0.0
Tai,2013,0.8544189,-0.18789037,0.3492652,-0.25609094,-0.18931898,0.12464753,0.0
Ife North,2013,0.47754246,0.12443715,-1.2627167,-0.30415055,-0.07857218,0.06635334,0.0
Ayedade,2013,-0.7404812,0.1655397,-0.75029427,0.11058516,-0.121255405,-0.049411096,0.0
Ayedire,2013,-0.4803966,0.17437743,-0.7605405,-0.09240537,0.11320715,0.017011138,0.0
Ahoada East,2013,0.4348125,-0.10768519,0.16954766,-0.2527738,-0.18521075,0.084070735,0.0
Iseyin,2013,0.2168552,-0.52682585,-1.2306874,0.32330328,-0.11864919,-0.13043442,0.0
Itesiwaju,2013,0.8275932,0.72844565,-0.62749624,0.31963214,0.0410132,-0.12411898,0.0
Kajola,2013,0.87141585,-0.7791002,-0.5357635,0.28052813,0.27512652,0.07524787,0.0
Nkanu West,2013,-0.03585182,-0.39351884,0.7989862,-0.24379827,-0.24796154,0.100433804,0.0
Afikpo North,2013,-0.66809785,-0.4634528,-1.2371452,-0.25341845,0.3787458,0.12261357,0.0
Donga,2013,-0.9296751,0.56741136,-0.048485264,0.2743909,0.3432238,-0.13698134,0.0
Oji-River,2013,-1.1953155,-0.26479432,-0.7760065,-0.28418154,-0.29540232,-0.02680023,0.0
Oyun,2013,-0.44463134,0.1145888,-1.2038091,-0.17199099,-0.09165862,-0.052281562,0.0
Ogbia,2013,0.70093066,0.29381922,0.69338393,-0.044177882,0.073707856,0.010486395,0.0
Asari-Toru,2013,1.1553749,-0.6900925,-0.75329137,0.23241623,0.32474816,0.14997743,0.0
Uyo,2013,0.5214802,-0.7821084,-0.76209134,-0.25748843,-0.4255243,0.10613655,0.0
Ikono,2013,0.81664854,-0.74617296,-0.16733961,-0.29377246,0.03051471,0.09810376,0.0
Baruten,2013,-0.7338691,0.7409973,-0.65243214,0.37102106,0.027694836,-0.1186566,0.0
Lagelu,2013,-1.0792283,-0.07234359,-1.2233125,-0.28448927,-0.34854066,0.070590556,0.0
Idah,2013,-1.161634,-0.686563,-0.7446524,-0.26774788,0.07342833,0.07541699,0.0
Machina,2013,-0.35114688,0.39793622,0.46245837,0.20911661,0.33537307,-0.14622495,0.0
Ibaji,2013,-1.091436,-0.6277969,1.2910432,0.09385469,0.34986454,-0.11935098,0.0
Municipal Area Council,2013,1.0967139,0.11423266,-0.9413941,0.1819584,-0.34142807,0.1134956,0.0
Kaiama,2013,-0.7863595,0.70062,-0.3519794,0.33063552,0.009010677,-0.13589297,0.0
Bakura,2013,0.91195554,0.530027,1.1370956,0.30850923,0.061473496,-0.079554915,0.0
Nguru,2013,0.70941675,0.54042417,-0.9560172,0.10169461,-0.122290425,-0.021298023,0.0
Gummi,2013,0.47083056,0.7116133,1.1122522,0.30278143,0.316377,-0.1206417,0.0
Ajingi,2013,0.9245982,-0.6644793,-0.81328887,0.04608531,0.23325004,-0.0084336,0.0
Port-Harcourt,2013,1.0505729,-0.50733006,0.7831705,-0.26542693,-0.36435634,0.14011762,0.0
Augie,2013,-0.3244454,0.2695658,0.89777267,0.13625813,0.20956261,-0.07833314,0.0
Kebbe,2013,0.66092175,0.72718436,1.0036217,0.30419967,0.15073468,-0.11359461,0.0
Surulere,2013,0.040845342,-0.059782457,-0.6455343,-0.13284492,0.049547005,-0.0680005,0.0
Ringim,2013,0.9400811,0.4736733,0.90474665,0.029484028,-0.010146462,-0.04251364,0.0
Emuoha,2013,1.1154373,0.56703955,-0.5275553,0.16534294,-0.31647357,0.035221074,0.0
Isi-Uzo,2013,-0.43948403,-0.41553238,-0.9459189,0.05881882,0.3286041,-0.06811149,0.0
Yenegoa,2013,0.056584176,0.06502944,-1.1904086,0.10805732,-0.30313322,0.09428991,0.0
Ilorin East,2013,-0.109104015,-0.10179809,0.09495553,0.12774068,-0.32254368,0.09507547,0.0
Alkaleri,2013,0.66569316,0.7113226,0.86877275,0.3171576,0.20635957,-0.12695576,0.0
Omumma,2013,0.10877338,-0.7505605,-1.2289217,-0.28922468,0.35355252,0.060400613,0.0
Birnin Kudu,2013,0.97016627,-0.35925207,1.0525444,0.09825419,0.021702422,-0.03003391,0.0
Takum,2013,-1.1127645,-0.18001772,0.9520303,0.27824858,0.35160503,-0.11496359,0.0
Esan South-East,2013,0.14194328,0.4078991,-0.8567037,0.17197141,0.30764946,-0.07454139,0.0
Ifedayo,2013,-1.0616075,-0.5961344,0.65898603,-0.24919924,0.3749951,0.025440838,0.0
Ori Ire,2013,-0.23517686,-0.06465271,-0.6378789,0.28391224,-0.28722572,-0.15259275,0.0
Ifelodun,2013,-0.81877595,0.18225294,-0.524488,0.26046142,-0.15717241,-0.14461072,0.0
Maradun,2013,0.43862525,0.26444536,1.0918058,0.2791796,0.19886284,-0.12742113,0.0
Aninri,2013,0.5423435,0.3805005,0.4128104,-0.15081438,0.24176337,0.10633011,0.0
Abakaliki,2013,-1.1365787,-0.50183696,0.980505,-0.24457613,-0.23284982,0.042876363,0.0
Pategi,2013,-0.6014205,-0.46196765,0.9764279,0.28938228,0.042041223,-0.1376264,0.0
Biriniwa,2013,0.65014714,0.32210147,1.061713,0.06362065,0.2201464,-0.12086446,0.0
Ussa,2013,-1.1263334,-0.1488182,0.37572414,-0.107009396,0.3991261,-0.09070341,0.0
Silame,2013,-0.26113734,0.19614987,1.1700755,0.09493902,0.34341958,-0.030129751,0.0
Takai,2013,0.84906775,-0.62375987,0.75253356,-0.1695425,-0.016670957,0.023585519,0.0
Bwari,2013,0.64165705,-0.41566014,-0.75047374,0.13077214,-0.38693333,0.09623295,0.0
Edu,2013,-0.2137888,-0.060149692,0.044747163,0.2117835,0.067698255,-0.12627752,0.0
Jema'A,2013,0.40087342,0.60702914,-0.082979284,0.19217233,-0.16738787,0.00052242214,0.0
Gumel,2013,0.75185263,-0.6557004,1.0357021,-0.2908356,-0.08890342,0.062431652,0.0
Binji,2013,0.2007584,0.7403534,-0.34480643,0.27867174,0.3543257,-0.048940398,0.0
Kware,2013,0.015350329,-0.40629947,0.9188819,0.09193534,0.26208878,-0.025184104,0.0
Bunza,2013,-0.021571463,-0.06438644,1.2560502,0.12441021,-0.13501036,-0.0968649,0.0
Mopa-Muro,2013,-1.1403328,0.31650147,-0.731147,0.29791504,-0.081675954,-0.13889845,0.0
Sokoto North,2013,1.0229033,-0.74323034,0.58395356,-0.25362322,-0.20361839,0.13984828,0.0
Musawa,2013,-0.59297574,-0.5059465,1.0909756,-0.25618196,0.2098599,-0.044487193,0.0
Ethiope West,2013,0.79296863,0.013985705,-0.9507811,0.17197566,-0.32380134,0.09213193,0.0
Ishielu,2013,-0.7832406,-0.34342602,1.3306223,-0.2457578,-0.12820312,-0.042046573,0.0
Sakaba,2013,-1.0106049,0.6113832,0.19903779,0.10287488,0.25709456,-0.13254078,0.0
Kudan,2013,0.08766835,-0.26949215,-0.07479222,-0.27360022,-0.014608836,0.055206228,0.0
Kachia,2013,-0.014322138,-0.049711168,1.0463456,0.2711418,-0.07895801,-0.12467325,0.0
Sabon Birni,2013,0.6048809,0.33346194,0.9447798,0.20782776,0.30689883,-0.122100756,0.0
Uzo-Uwani,2013,-0.5660263,0.7974566,0.69371384,0.10071307,0.3485822,-0.04104374,0.0
Jaba,2013,0.03866921,-0.5832677,1.2878064,-0.10255944,0.082537286,0.02091121,0.0
Ibesikpo Asutan,2013,0.47821203,-0.6628939,1.1613685,-0.26333827,-0.34772098,0.10120286,0.0
Sokoto South,2013,0.77933884,-0.64382297,-0.035527118,-0.25114805,-0.20656435,0.15876198,0.0
Yabo,2013,0.86777425,0.69218767,1.268772,0.24611792,-0.09115274,-0.02156008,0.0
Damboa,2013,1.0811647,0.5005146,-0.8233106,0.35775852,0.32652178,-0.18347332,0.0
Matazu,2013,-0.7437731,0.16128105,0.9522969,-0.25481018,0.36547482,-0.04042425,0.0
Sandamu,2013,-0.009777416,-0.7225079,0.2449433,-0.28310767,0.060488384,0.018638674,0.0
Mashi,2013,-0.034435257,0.032989882,1.1101002,-0.13793863,0.13590796,-0.045539334,0.0
Dan Musa,2013,-0.6792041,0.083646685,0.23176473,0.22634205,0.34306756,-0.086911805,0.0
Kura,2013,0.7124366,0.030866517,0.73548234,-0.27161437,-0.29088876,0.11421169,0.0
Lere,2013,0.50330895,-0.4125594,0.98732865,0.1767121,-0.18469258,-0.096684165,0.0
Zango,2013,0.47126886,-0.26442486,0.20070668,-0.2979093,0.18247469,-0.03262536,0.0
Wurno,2013,0.86468065,0.6851689,-0.13685487,0.110086225,0.36726782,0.0267569,0.0
Gudu,2013,0.4030667,0.7397021,0.98823416,0.2910625,0.28951696,-0.11788815,0.0
Gwiwa,2013,0.6845439,0.08059127,1.0473757,-0.3004568,0.1468478,0.0024127734,0.0
Birnin Kebbi,2013,0.026316306,-0.6483321,0.3116442,0.03921501,-0.23239593,-0.02598113,0.0
Suru,2013,-0.5481306,0.5084468,0.9721011,0.1375438,0.058543954,-0.10497413,0.0
Numan,2013,-0.941274,-0.1130979,0.3417911,0.1287485,-0.24961336,-0.09932884,0.0
Biu,2013,0.80956066,0.7113808,-0.82445025,0.354352,0.34329647,-0.13979986,0.0
Kaduna South,2013,0.8931854,-0.6893077,-1.251423,-0.26845345,-0.3271573,0.16745864,0.0
Dikwa,2013,0.9153493,0.69120383,0.80413747,0.3166965,0.32027286,-0.13799432,0.0
Zaria,2013,0.89476454,-0.18389119,-0.051954884,-0.059785888,-0.1907583,0.15358783,0.0
Kalgo,2013,-0.634277,0.39409706,0.8871478,0.011006198,-0.19299583,-0.054648716,0.0
Yankwashi,2013,0.76381123,-0.7037903,1.0561954,-0.28990108,0.23117474,0.0025452,0.0
